Contas Regionais do Brasil;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Participação das Grandes Regiões e Estados no Valor Adicionado Bruto do Brasil por Atividade Econômica - 1985 - 2003;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Grandes Regiões e Unidades da Federação;Anos;;;;;;;;;;;;;;;;;;
;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003
NORTE;3,61;4,34;4,09;4,06;4,27;4,66;4,52;3,87;4,49;4,83;4,56;4,59;4,34;4,47;4,47;4,61;4,73;4,95;4,88
  Rondônia;0,45;0,57;0,49;0,44;0,45;0,45;0,40;0,34;0,37;0,41;0,46;0,48;0,49;0,50;0,51;0,50;0,50;0,53;0,53
  Acre;0,13;0,14;0,13;0,13;0,12;0,14;0,14;0,15;0,14;0,15;0,16;0,15;0,16;0,16;0,16;0,16;0,16;0,17;0,17
  Amazonas;1,40;1,71;1,64;1,68;1,54;1,74;1,58;1,39;1,58;1,55;1,60;1,70;1,53;1,62;1,57;1,70;1,69;1,80;1,75
  Roraima;0,07;0,08;0,08;0,08;0,09;0,11;0,09;0,08;0,06;0,06;0,07;0,07;0,07;0,08;0,08;0,10;0,10;0,11;0,11
  Pará;1,44;1,72;1,64;1,58;1,79;1,93;1,98;1,62;2,04;2,29;1,89;1,82;1,72;1,73;1,76;1,76;1,83;1,88;1,86
  Amapá;0,12;0,12;0,12;0,14;0,15;0,15;0,16;0,16;0,15;0,18;0,20;0,18;0,18;0,17;0,17;0,18;0,19;0,20;0,20
  Tocantins;..;..;..;..;0,12;0,14;0,17;0,15;0,15;0,18;0,19;0,19;0,20;0,21;0,21;0,22;0,25;0,26;0,25
NORDESTE;13,43;13,83;12,45;12,27;11,26;12,56;13,12;12,15;11,57;12,44;12,77;13,18;13,08;13,05;13,06;13,04;13,02;13,36;13,63
  Maranhão;0,74;0,82;0,72;0,77;0,73;0,81;0,81;0,75;0,69;0,78;0,78;0,88;0,85;0,80;0,82;0,84;0,86;0,84;0,89
  Piauí;0,37;0,42;0,37;0,35;0,34;0,43;0,43;0,36;0,38;0,43;0,49;0,50;0,48;0,49;0,48;0,49;0,47;0,46;0,47
  Ceará;1,79;1,82;1,67;1,69;1,60;1,71;1,85;1,81;1,74;1,84;1,94;2,03;2,03;2,07;2,00;1,87;1,78;1,78;1,81
  Rio Grande do Norte;0,77;0,75;0,70;0,66;0,68;0,68;0,75;0,68;0,67;0,71;0,73;0,75;0,77;0,75;0,78;0,84;0,81;0,85;0,86
  Paraíba;0,69;0,76;0,69;0,65;0,60;0,79;0,80;0,65;0,64;0,77;0,82;0,83;0,80;0,78;0,80;0,84;0,85;0,86;0,87
  Pernambuco;2,42;2,70;2,55;2,43;2,30;2,65;2,83;2,48;2,34;2,50;2,71;2,73;2,67;2,70;2,65;2,65;2,64;2,68;2,69
  Alagoas;0,69;0,66;0,67;0,56;0,51;0,67;0,70;0,68;0,58;0,65;0,62;0,65;0,67;0,68;0,66;0,64;0,64;0,64;0,66
  Sergipe;0,88;0,86;0,63;0,59;0,47;0,55;0,62;0,57;0,56;0,55;0,54;0,55;0,55;0,55;0,55;0,54;0,69;0,71;0,75
  Bahia;5,07;5,04;4,45;4,58;4,03;4,27;4,33;4,17;3,98;4,19;4,14;4,26;4,27;4,23;4,32;4,35;4,29;4,53;4,62
SUDESTE;60,36;58,24;60,32;60,25;59,54;57,00;57,91;59,27;59,89;57,66;58,27;57,51;58,08;57,74;57,81;57,53;57,17;56,36;55,42
  Minas Gerais;9,27;9,29;9,39;9,29;8,86;8,88;9,26;9,00;8,95;9,86;9,68;10,07;10,01;9,76;9,60;9,68;9,40;9,25;9,24
  Espírito Santo;1,63;1,76;1,40;1,46;1,41;1,39;1,55;1,47;1,37;1,59;1,68;1,76;1,71;1,72;1,76;1,80;1,70;1,70;1,71
  Rio de Janeiro;13,35;11,98;11,93;11,85;11,65;11,39;12,24;12,29;12,13;11,24;11,37;10,95;11,02;10,98;11,77;12,71;12,47;12,82;12,36
  São Paulo;36,10;35,21;37,60;37,65;37,62;35,33;34,86;36,52;37,45;34,97;35,53;34,74;35,34;35,29;34,68;33,34;33,60;32,59;32,11
SUL;16,60;17,46;16,83;17,03;17,13;17,12;16,68;17,05;16,24;17,99;17,87;18,09;17,70;17,62;17,85;17,64;17,80;17,76;18,59
  Paraná;5,96;6,02;6,00;5,97;5,98;6,01;5,85;5,73;5,39;6,04;5,96;6,19;6,13;6,30;6,39;5,99;6,05;6,08;6,40
  Santa Catarina;3,17;3,47;3,25;3,35;3,62;3,37;3,35;3,48;3,08;3,40;3,56;3,73;3,61;3,55;3,64;3,84;3,88;3,85;3,96
  Rio Grande do Sul;7,48;7,97;7,58;7,71;7,53;7,74;7,49;7,84;7,77;8,56;8,35;8,17;7,97;7,78;7,83;7,81;7,87;7,84;8,23
CENTRO-OESTE;6,00;6,13;6,30;6,39;7,81;8,66;7,77;7,66;7,81;7,09;6,53;6,63;6,80;7,11;6,80;7,18;7,28;7,57;7,49
  Mato Grosso do Sul;0,90;1,07;0,94;0,92;0,83;0,91;0,93;0,84;0,85;1,05;1,08;1,08;1,08;1,11;1,12;1,07;1,14;1,12;1,19
  Mato Grosso;0,67;0,78;0,75;0,83;0,74;0,77;0,88;0,86;0,93;1,04;0,98;1,00;1,03;1,10;1,17;1,20;1,18;1,30;1,41
  Goiás;1,78;1,98;1,74;1,74;1,31;1,61;1,76;1,54;1,58;1,81;1,81;1,85;1,80;1,88;1,79;1,93;2,04;2,28;2,31
  Distrito Federal;2,66;2,30;2,87;2,90;4,94;5,37;4,19;4,42;4,45;3,18;2,65;2,71;2,89;3,01;2,73;2,97;2,92;2,86;2,58
BRASIL;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fonte: Diretoria de Pesquisas, Coordenação de Contas Nacionais.;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
